order_id,total_quantity,order_value
O00000835,1,536.33
O00000836,2,358.71
O00000837,3,853.8199999999999
O00000838,3,198.37
O00000839,1,126.24
O00000840,2,91.48
O00000841,1,56.03
O00000842,5,467.48
O00000843,1,63.33
O00000844,1,687.51
O00000845,1,20.93
O00000846,1,44.29
O00000847,4,640.3199999999999
O00000848,1,49.84
O00000849,1,76.4
O00000850,1,134.24
O00000851,1,20.41
O00000852,2,1639.09
O00000853,2,35.14
O00000854,2,231.79
O00000855,1,36.92
O00000856,4,633.8299999999999
O00000857,4,497.67
O00000858,4,2202.0
O00000859,1,295.05
O00000860,1,14.09
O00000861,6,713.32
O00000862,4,875.51
O00000863,2,169.72
O00000864,3,47.07
O00000865,5,1452.85
O00000866,1,541.92
O00000867,4,1237.89
O00000868,2,329.79
O00000869,1,238.08
O00000870,3,1286.28
O00000871,2,175.08
O00000872,2,117.10000000000001
O00000873,1,274.66
O00000874,1,29.9
O00000875,1,3.45
O00000876,7,537.66
O00000877,1,26.27
O00000878,1,59.13
O00000879,1,951.69
O00000880,1,32.13
O00000881,3,703.0699999999999
O00000882,3,455.30000000000007
O00000883,1,24.2
O00000884,3,686.6800000000001
O00000885,3,215.78
O00000886,3,554.72
O00000887,2,89.08
O00000888,1,15.26
O00000889,4,951.12
O00000890,2,40.12
O00000891,5,339.4
O00000892,3,235.42000000000002
O00000893,4,1239.31
O00000894,6,3316.87
O00000895,2,208.24
O00000896,1,557.39
O00000897,1,33.11
O00000898,3,206.43
O00000899,1,407.54
O00000900,4,412.80999999999995
O00000901,2,124.77
O00000902,7,1014.8000000000001
O00000903,1,74.93
O00000904,3,441.61
O00000905,3,478.81
O00000906,2,86.11
O00000907,3,1059.3
O00000908,2,686.56
O00000909,2,348.46
O00000910,3,1533.3
O00000911,4,161.36
O00000912,1,698.45
O00000913,3,659.56
O00000914,3,1688.84
O00000915,3,222.86
O00000916,3,461.24
O00000917,3,327.19
O00000918,2,369.8
O00000919,1,638.51
O00000920,2,40.7
O00000921,3,1624.66
O00000922,1,368.82
O00000923,1,85.2
O00000924,7,1555.3400000000001
O00000925,3,146.6
O00000926,1,88.68
O00000927,3,124.57
O00000928,9,1188.16
O00000929,4,1538.97
O00000930,2,436.84
O00000931,2,1565.59
O00000932,2,74.81
O00000933,3,67.93
O00000934,3,207.05
O00000935,7,3388.79
O00000936,6,385.6
O00000937,1,69.43
O00000938,2,222.92000000000002
O00000939,5,1233.39
O00000940,2,163.07
O00000941,1,1166.24
O00000942,5,1701.19
O00000943,6,3023.0599999999995
O00000944,1,113.98
O00000945,1,7.76
O00000946,1,99.54
O00000947,6,630.86
O00000948,1,85.27
O00000949,2,156.32
O00000950,4,106.4
O00000951,2,41.48
O00000952,6,360.03
O00000953,7,654.9
O00000954,5,255.44
O00000955,1,83.19
O00000956,5,2365.6099999999997
O00000957,1,297.47
O00000958,3,126.70000000000002
O00000959,4,217.2
O00000960,2,207.21
O00000961,2,1262.72
O00000962,2,557.48
O00000963,4,100.63
O00000964,4,354.07
O00000965,4,223.07
O00000966,3,619.63
O00000967,2,486.86
O00000968,3,121.55
O00000969,2,203.42
O00000970,2,300.44
O00000971,1,252.09
O00000972,1,769.71
O00000973,5,322.38
O00000974,3,1670.4
O00000975,3,111.6
O00000976,4,1239.53
O00000977,1,40.54
O00000978,1,20.19
O00000979,3,142.65
O00000980,5,919.5
O00000981,3,163.08
O00000982,3,284.85
O00000983,3,394.90999999999997
O00000984,2,133.95
O00000985,3,438.68
O00000986,4,916.62
O00000987,4,252.13
O00000988,1,9.28
O00000989,7,1457.74
O00000990,7,1848.71
O00000991,1,79.18
O00000992,2,432.67
O00000993,4,219.24
O00000994,2,371.63
O00000995,3,4043.8399999999997
O00000996,1,31.28
O00000997,1,62.62
O00000998,8,876.69
O00000999,2,229.12
O00001000,1,63.31
O00001001,3,126.55
O00001002,1,9.28
O00001003,3,521.59
O00001004,2,148.32999999999998
O00001005,4,447.36
O00001006,4,155.39
O00001007,1,48.22
O00001008,4,99.50999999999999
O00001009,1,51.05
O00001010,1,322.77
O00001011,3,1636.7
O00001012,1,5.35
O00001013,4,191.91
O00001014,1,423.57
O00001015,1,208.74
O00001016,4,938.73
O00001017,1,492.81
O00001018,1,416.24
O00001019,1,112.19
O00001020,4,306.95
O00001021,2,235.84
O00001022,1,75.81
O00001023,2,925.52
O00001024,5,439.51
O00001025,7,3106.22
O00001026,1,70.32
O00001027,4,693.04
O00001028,5,464.86
O00001029,1,21.92
O00001030,4,623.72
O00001031,3,543.25
O00001032,1,47.35
O00001033,2,245.2
O00001034,6,3385.66
O00001035,2,790.2800000000001
O00001036,3,844.54
O00001037,3,152.4
O00001038,2,224.85
O00001039,2,1336.9499999999998
O00001040,1,18.26
O00001041,2,208.45000000000002
O00001042,3,742.29
O00001043,4,725.81
O00001044,6,328.55
O00001045,2,1842.0
O00001046,8,2799.0099999999998
O00001047,3,19.56
O00001048,2,186.91000000000003
O00001049,2,266.32
O00001050,5,229.48
O00001051,4,279.42
O00001052,3,1295.76
O00001053,2,411.46
O00001054,1,202.98
O00001055,2,436.68
O00001056,1,113.44
O00001057,6,313.02
O00001058,5,3283.6
O00001059,2,48.2
O00001060,2,915.9
O00001061,1,917.59
O00001062,5,693.5
O00001063,8,1046.5700000000002
O00001064,4,415.34
O00001065,8,375.19000000000005
O00001066,1,40.0
O00001067,3,1369.3000000000002
O00001068,4,146.59
O00001069,3,207.3
O00001070,5,678.61
O00001071,5,346.93
O00001072,3,346.08
O00001073,1,9.28
O00001074,5,464.85
O00001075,5,659.8
O00001076,4,575.78
O00001077,4,1411.54
O00001078,1,53.19
O00001079,2,515.98
O00001080,7,1117.1399999999999
O00001081,4,1405.44
O00001082,2,451.74
O00001083,1,283.47
O00001084,2,240.64
O00001085,1,65.21
O00001086,1,135.96
O00001087,7,3890.26
O00001088,1,56.04
O00001089,4,700.04
O00001090,4,274.74
O00001091,2,174.95
O00001092,1,121.03
O00001093,3,1111.26
O00001094,4,715.27
O00001095,3,97.82
O00001096,5,674.26
O00001097,4,573.58
O00001098,4,270.6
O00001099,2,237.44
O00001100,5,920.33
O00001101,3,648.76
O00001102,2,34.44
O00001103,3,247.2
O00001104,1,21.3
O00001105,2,18.2
O00001106,3,526.9
O00001107,1,59.91
O00001108,2,1539.42
O00001109,2,190.17000000000002
O00001110,2,56.96
O00001111,3,673.29
O00001112,1,159.88
O00001113,8,756.13
O00001114,2,538.62
O00001115,6,754.8399999999999
O00001116,2,209.08
O00001117,1,132.13
O00001118,1,32.78
O00001119,2,1586.27
O00001120,1,108.57
O00001121,6,560.94
O00001122,5,305.99
O00001123,1,34.94
O00001124,6,260.02
O00001125,4,426.88
O00001126,5,312.78999999999996
O00001127,1,168.63
O00001128,1,66.98
O00001129,2,27.07
O00001130,4,225.3
O00001131,4,291.57
O00001132,4,1288.5
O00001133,2,134.9
O00001134,5,202.61
O00001135,2,797.72
O00001136,1,35.24
O00001137,3,658.51
O00001138,4,513.47
O00001139,7,1333.28
O00001140,2,235.82999999999998
O00001141,7,851.66
O00001142,2,326.16
O00001143,6,892.77
O00001144,1,86.47
O00001145,4,815.21
O00001146,1,139.06
O00001147,4,54.91
O00001148,5,380.65
O00001149,1,10.52
O00001150,3,649.45
O00001151,6,505.58000000000004
O00001152,2,819.22
O00001153,4,122.8
O00001154,4,110.47
O00001155,3,45.33
O00001156,5,733.14
O00001157,1,56.87
O00001158,1,52.95
O00001159,3,4748.95
O00001160,3,50.519999999999996
O00001161,1,74.08
O00001162,1,62.47
O00001163,3,127.41
O00001164,3,214.4
O00001165,5,1214.01
O00001166,3,170.15
O00001167,3,239.03
O00001168,5,411.21999999999997
O00001169,4,3383.7599999999998
O00001170,5,563.09
O00001171,3,362.48
O00001172,2,82.98
O00001173,2,94.97
O00001174,1,142.94
O00001175,5,418.54
O00001176,3,105.52000000000001
O00001177,2,404.77
O00001178,3,112.48999999999998
O00001179,3,323.94
O00001180,2,146.18
O00001181,2,93.98
O00001182,1,221.26
O00001183,1,176.19
O00001184,5,263.31
O00001185,1,438.46
O00001186,1,70.33
O00001187,2,732.2800000000001
O00001188,1,189.79
O00001189,2,322.7
O00001190,2,383.78
O00001191,1,10.78
O00001192,1,49.66
O00001193,5,190.18
